pid,label,description,creator,source,respository,papers,location,sourcelink,publisher,_date,contributor,rights,relation,_type,site,order,layout,collection,thumbnail,full
cyn024,"Illustration by Esther Cyna, based on student illustrations in _Wadleigh Way_, 1965 and 1966.",,,,,,,,,2015,,,,image,wad,56,exh_item,wadexh,img/derivatives/simple/cyn024/thumbnail.jpg,img/derivatives/simple/cyn024/fullwidth.jpg
cyn025,"Illustration by Esther Cyna, based on student illustrations in _Wadleigh Way_, 1965 and 1966.",,,,,,,,,2015,,,,image,wad,57,exh_item,wadexh,img/derivatives/simple/cyn025/thumbnail.jpg,img/derivatives/simple/cyn025/fullwidth.jpg
cyn026,"Illustration by Esther Cyna, based on student illustrations in _Wadleigh Way_, 1965 and 1966.",,,,,,,,,2015,,,,image,wad,58,exh_item,wadexh,img/derivatives/simple/cyn026/thumbnail.jpg,img/derivatives/simple/cyn026/fullwidth.jpg
cyn027,"Illustration by Esther Cyna, based on student illustrations in _Wadleigh Way_, 1965 and 1966.",,,,,,,,,2015,,,,image,wad,59,exh_item,wadexh,img/derivatives/simple/cyn027/thumbnail.jpg,img/derivatives/simple/cyn027/fullwidth.jpg
cyn028,"Illustration by Esther Cyna, based on student illustrations in _Wadleigh Way_, 1965 and 1966.",,,,,,,,,2015,,,,image,wad,60,exh_item,wadexh,img/derivatives/simple/cyn028/thumbnail.jpg,img/derivatives/simple/cyn028/fullwidth.jpg
cyn029,"Illustration by Esther Cyna, based on student illustrations in _Wadleigh Way_, 1965 and 1966.",,,,,,,,,2015,,,,image,wad,61,exh_item,wadexh,img/derivatives/simple/cyn029/thumbnail.jpg,img/derivatives/simple/cyn029/fullwidth.jpg
cyn030,"Illustration by Esther Cyna, based on student illustrations in _Wadleigh Way_, 1965 and 1966.",,,,,,,,,2015,,,,image,wad,62,exh_item,wadexh,img/derivatives/simple/cyn030/thumbnail.jpg,img/derivatives/simple/cyn030/fullwidth.jpg
cyn031,"Illustration by Esther Cyna, based on student illustrations in _Wadleigh Way_, 1965 and 1966.",,,,,,,,,2015,,,,image,wad,63,exh_item,wadexh,img/derivatives/simple/cyn031/thumbnail.jpg,img/derivatives/simple/cyn031/fullwidth.jpg
cyn032,"Illustration by Esther Cyna, based on student illustrations in _Wadleigh Way_, 1965 and 1966.",,,,,,,,,2015,,,,image,wad,64,exh_item,wadexh,img/derivatives/simple/cyn032/thumbnail.jpg,img/derivatives/simple/cyn032/fullwidth.jpg
cyn033,"Illustration by Esther Cyna, based on student illustrations in _Wadleigh Way_, 1965 and 1966.",,,,,,,,,2015,,,,image,wad,65,exh_item,wadexh,img/derivatives/simple/cyn033/thumbnail.jpg,img/derivatives/simple/cyn033/fullwidth.jpg
cyn034,"Illustration by Esther Cyna, based on student illustrations in _Wadleigh Way_, 1965 and 1966.",,,,,,,,,2015,,,,image,wad,66,exh_item,wadexh,img/derivatives/simple/cyn034/thumbnail.jpg,img/derivatives/simple/cyn034/fullwidth.jpg
lef001,"Map of Puerto Rico, indicating Evelina Lopez's birthplace",,"Lefty, Lauren",,,,,,,,,,,image,wad,16,exh_item,wadexh,img/derivatives/simple/lef001/thumbnail.jpg,img/derivatives/simple/lef001/fullwidth.jpg
lef002,Map indicating Puerto Rico and New York City,,"Lefty, Lauren",,,,,,,,,,,image,wad,19,exh_item,wadexh,img/derivatives/simple/lef002/thumbnail.jpg,img/derivatives/simple/lef002/fullwidth.jpg
lef003,"Map indicating Harlem and the South Bronx, New York City",,"Lefty, Lauren",,,,,,,,,,,image,wad,17,exh_item,wadexh,img/derivatives/simple/lef003/thumbnail.jpg,img/derivatives/simple/lef003/fullwidth.jpg
lef004,Map indicating Wadleigh High School in Harlem,,"Lefty, Lauren",,,,,,,,,,,image,wad,25,exh_item,wadexh,img/derivatives/simple/lef004/thumbnail.jpg,img/derivatives/simple/lef004/fullwidth.jpg
lef005,Map indicating the South Bronx,,"Lefty, Lauren",,,,,,,,,,,image,wad,24,exh_item,wadexh,img/derivatives/simple/lef005/thumbnail.jpg,img/derivatives/simple/lef005/fullwidth.jpg
lef006,"Map indicating United Bronx Parents Headquarters, the South Bronx",,"Lefty, Lauren",,,,,,,,,,,image,wad,20,exh_item,wadexh,img/derivatives/simple/lef006/thumbnail.jpg,img/derivatives/simple/lef006/fullwidth.jpg
lef007,"El Borinquen, Ship from Puerto Rico to New York",,,,Collection of Bjorn Larsson,,,http://www.timetableimages.com/maritime/images/porto34i1.htm,,1934,,Used with permission,,image,wad,23,exh_item,wadexh,img/derivatives/simple/lef007/thumbnail.jpg,img/derivatives/simple/lef007/fullwidth.jpg
lef008,"Puerto Real, Puerto Rico. Part of the extremely poor little fishing village on the southwest coast of Puerto Rico",,"Delano, Jack",,Library of Congress Prints & Photographs Division,Farm Security Administration - Office of War Information Photograph Collection,,https://www.loc.gov/item/2017798353/,,"January 1, 1942",,Public domain,,image,wad,2,exh_item,wadexh,img/derivatives/simple/lef008/thumbnail.jpg,img/derivatives/simple/lef008/fullwidth.jpg
lef009,"Puerto Real, Puerto Rico. Part of the extremely poor little fishing village on the southwest coast of Puerto Rico",,"Delano, Jack",,Library of Congress Prints & Photographs Division,Farm Security Administration - Office of War Information Photograph Collection,,https://www.loc.gov/item/2017798354/,,"January 1, 1942",,Public domain,,image,wad,1,exh_item,wadexh,img/derivatives/simple/lef009/thumbnail.jpg,img/derivatives/simple/lef009/fullwidth.jpg
lef010,"Puerto Rican Migration to the U.S. and New York, 1930-1980",,"Korrol, Virginia Sanchez","From Colonia to Community: The History of Puerto Ricans in New York City, 1917-1948. Berkeley, CA: University of California Press, 1983.",,,,,,1983,,,,image,wad,26,exh_item,wadexh,img/derivatives/simple/lef010/thumbnail.jpg,img/derivatives/simple/lef010/fullwidth.jpg
lef011,Passengers arriving at New York Airport during the Great Migration,,Fundacion Puertorriquena de la Humanidades,Puerto Rico Encyclopedia,,,,https://enciclopediapr.org/,,,,,,image,wad,12,exh_item,wadexh,img/derivatives/simple/lef011/thumbnail.jpg,img/derivatives/simple/lef011/fullwidth.jpg
lef012,Map of Puerto Rico 1898,,,,,,,,,1898,,,,image,wad,21,exh_item,wadexh,img/derivatives/simple/lef012/thumbnail.jpg,img/derivatives/simple/lef012/fullwidth.jpg
lef013,"School room in rural school. Cidra, Puerto Rico",,"Rosskam, Edwin",,Library of Congress Prints & Photographs Division,Farm Security Administration - Office of War Information Photograph Collection,,https://www.loc.gov/item/2017764472/,,"January 1, 1938",,Public domain,,image,wad,22,exh_item,wadexh,img/derivatives/simple/lef013/thumbnail.jpg,img/derivatives/simple/lef013/fullwidth.jpg
