pid,label,description,creator,source,respository,papers,location,sourcelink,publisher,_date,contributor,rights,relation,_type,site,sourcecoll,sourceid,linkbase,,order,layout,collection,thumbnail,full
may012,Marches Motives,,various students ,"Wadleigh High School, The Owl, June 1943",,,,www.wadleighhistory.org/wyb/wyb014,,June 1943,,,,image,wad,wyb/,wyb014,www.wadleighhistory.org/,,19,exh_item,wadexhsel,img/derivatives/simple/may012/thumbnail.jpg,img/derivatives/simple/may012/fullwidth.jpg
may014,"Letters from Camp, page 1  ",,various students ,"Wadleigh High School, The Owl, January 1942",,,,www.wadleighhistory.org/wyb/wyb012,,January 1942,,,,image,wad,wyb/,wyb012,www.wadleighhistory.org/,,20,exh_item,wadexhsel,img/derivatives/simple/may014/thumbnail.jpg,img/derivatives/simple/may014/fullwidth.jpg
may015,"Letters from Camp, page 2  ",,various students,"Wadleigh High School, The Owl, January 1942",,,,www.wadleighhistory.org/wyb/wyb012,,January 1942,,,,image,wad,wyb/,wyb012,www.wadleighhistory.org/,,21,exh_item,wadexhsel,img/derivatives/simple/may015/thumbnail.jpg,img/derivatives/simple/may015/fullwidth.jpg
may016,Letter to All My Friends at Wadleigh,,Frances W. Wilson,"Wadleigh High School, The Owl, June 1943",,,,www.wadleighhistory.org/wyb/wyb014,,"April 3, 1943",,,,image,wad,wyb/,wyb014,www.wadleighhistory.org/,,22,exh_item,wadexhsel,img/derivatives/simple/may016/thumbnail.jpg,img/derivatives/simple/may016/fullwidth.jpg
may018,"Friends and Enemies, page 1 ",,Jean Klein,"Wadleigh High School, The Owl, January 1939",,,,www.wadleighhistory.org/wyb/wyb009,,January 1939,,,,image,wad,wyb/,wyb009,www.wadleighhistory.org/,,23,exh_item,wadexhsel,img/derivatives/simple/may018/thumbnail.jpg,img/derivatives/simple/may018/fullwidth.jpg
may019,"Bird's Eye View of Europe, page 1 ",,Nellie Kulisher,"Wadleigh High School, The Owl, January 1937",,,,www.wadleighhistory.org/wyb/wyb005,,January 1937,,,,image,wad,wyb/,wyb005,www.wadleighhistory.org/,,24,exh_item,wadexhsel,img/derivatives/simple/may019/thumbnail.jpg,img/derivatives/simple/may019/fullwidth.jpg
may020,"The Land of Opportunity, page 1 ",,Lillie Feinberg,"Wadleigh High School, The Owl, January 1931",,,,www.wadleighhistory.org/wyb/wyb001,,January 1931,,,,image,wad,wyb/,wyb001,www.wadleighhistory.org/,,25,exh_item,wadexhsel,img/derivatives/simple/may020/thumbnail.jpg,img/derivatives/simple/may020/fullwidth.jpg
cyn003,"Wadleigh Junior High School, The Wadleigh Way, 1965, p. 4-5",,,"Wadleigh Junior High School, The Wadleigh Way",,,,www.wadleighhistory.org/wyb/wyb021,,1965,,,,image,wad,wyb/,wyb021,www.wadleighhistory.org/,,26,exh_item,wadexhsel,img/derivatives/simple/cyn003/thumbnail.jpg,img/derivatives/simple/cyn003/fullwidth.jpg
cyn004,"Some Letters to God, p. 36 ",,,"Wadleigh Junior High School, The Wadleigh Way, 1967",,,,www.wadleighhistory.org/wyb/wyb023,,1967,,,,image,wad,wyb/,wyb023,www.wadleighhistory.org/,,27,exh_item,wadexhsel,img/derivatives/simple/cyn004/thumbnail.jpg,img/derivatives/simple/cyn004/fullwidth.jpg
cyn005,"One More Step Behind, p. 8 ",,Elizabeth Laguer,"Wadleigh Junior High School, The Wadleigh Way, 1967",,,,www.wadleighhistory.org/wyb/wyb023,,1967,,,,image,wad,wyb/,wyb023,www.wadleighhistory.org/,,28,exh_item,wadexhsel,img/derivatives/simple/cyn005/thumbnail.jpg,img/derivatives/simple/cyn005/fullwidth.jpg
cyn006,"Harlem in 2001, p. 18",,George Johnson ,"Wadleigh Junior High School, The Wadleigh Way, 1974",,,,www.wadleighhistory.org/wyb/wyb026,,1974,,,,image,wad,wyb/,wyb026,www.wadleighhistory.org/,,29,exh_item,wadexhsel,img/derivatives/simple/cyn006/thumbnail.jpg,img/derivatives/simple/cyn006/fullwidth.jpg
cyn008,"Ghost Ship, part 2, p. 12",,Casper Shaw ,"Wadleigh Junior High School, The Wadleigh Way, 1966",,,,www.wadleighhistory.org/wyb/wyb022,,1966,,,,image,wad,wyb/,wyb022,www.wadleighhistory.org/,,30,exh_item,wadexhsel,img/derivatives/simple/cyn008/thumbnail.jpg,img/derivatives/simple/cyn008/fullwidth.jpg
cyn009,"My Trip to the Moon, part 1, p. 11 ",,Mary Smith ,"Wadleigh Junior High School, The Wadleigh Way, 1966",,,,www.wadleighhistory.org/wyb/wyb022,,1966,,,,image,wad,wyb/,wyb022,www.wadleighhistory.org/,,31,exh_item,wadexhsel,img/derivatives/simple/cyn009/thumbnail.jpg,img/derivatives/simple/cyn009/fullwidth.jpg
cyn010,"My Trip to the Moon, part 2, p. 12",,Mary Smith ,"Wadleigh Junior High School, The Wadleigh Way, 1966",,,,www.wadleighhistory.org/wyb/wyb022,,1966,,,,image,wad,wyb/,wyb022,www.wadleighhistory.org/,,32,exh_item,wadexhsel,img/derivatives/simple/cyn010/thumbnail.jpg,img/derivatives/simple/cyn010/fullwidth.jpg
cyn011,"Destination Moon, p. 9 ",,Diane Bishop,"Wadleigh Junior High School, The Wadleigh Way, 1967",,,,www.wadleighhistory.org/wyb/wyb023,,1967,,,,image,wad,wyb/,wyb023,www.wadleighhistory.org/,,33,exh_item,wadexhsel,img/derivatives/simple/cyn011/thumbnail.jpg,img/derivatives/simple/cyn011/fullwidth.jpg
cyn012,"Title Page, HARYOU, _Youth in the Ghetto_",,HARYOU ,"HARYOU, Youth In the Ghetto: A Study of the Consequences of Powerlessness and a Blueprint for Change. ",,,,www.harlemeducationhistory.library.columbia.edu/collection/gen/gen001,,1964,,,,image,gen,gen/,gen001,www.harlemeducationhistory.library.columbia.edu/collection/,,34,exh_item,wadexhsel,img/derivatives/simple/cyn012/thumbnail.jpg,img/derivatives/simple/cyn012/fullwidth.jpg
