pid,label,creator,contributor,source,respository,papers,location,sourcelink,publisher,_date,rights,_tags,_type,site,school,_sourcetype,,order,layout,collection,thumbnail,manifest,full
wyb001,The Owl [January 1931],Wadleigh High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,STGP (N.Y. Wadleigh) The Owl,https://digitalcollections.nypl.org/items/4fdd1920-1bb2-0134-2ee8-00505686a51c,,January 1931,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,,,2,wyb,yb,"/img/derivatives/iiif/images/wyb001/full/250,/0/default.jpg",/img/derivatives/iiif/wyb001/manifest.json,"/img/derivatives/iiif/images/wyb001/full/1140,/0/default.jpg"
wyb002,The Owl [January 1935],Wadleigh High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,STGP (N.Y. Wadleigh) The Owl,https://digitalcollections.nypl.org/items/c382eec0-1ecb-0134-8227-00505686a51c,,January 1935,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,,,3,wyb,yb,"/img/derivatives/iiif/images/wyb002/full/250,/0/default.jpg",/img/derivatives/iiif/wyb002/manifest.json,"/img/derivatives/iiif/images/wyb002/full/1140,/0/default.jpg"
wyb003,The Owl [June 1935],Wadleigh High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,STGP (N.Y. Wadleigh) The Owl,https://digitalcollections.nypl.org/items/2fda6d90-1f84-0134-114c-00505686a51c,,June 1935,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,,,4,wyb,yb,"/img/derivatives/iiif/images/wyb003/full/250,/0/default.jpg",/img/derivatives/iiif/wyb003/manifest.json,"/img/derivatives/iiif/images/wyb003/full/1140,/0/default.jpg"
wyb004,The Owl [June 1936],Wadleigh High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,STGP (N.Y. Wadleigh) The Owl,https://digitalcollections.nypl.org/items/b7df8d30-1fa5-0134-f137-00505686a51c,,June 1936,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,,,5,wyb,yb,"/img/derivatives/iiif/images/wyb004/full/250,/0/default.jpg",/img/derivatives/iiif/wyb004/manifest.json,"/img/derivatives/iiif/images/wyb004/full/1140,/0/default.jpg"
wyb005,The Owl [January 1937],Wadleigh High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,STGP (N.Y. Wadleigh) The Owl,https://digitalcollections.nypl.org/items/bde30bc0-25e1-0134-4ebd-00505686a51c,,January 1937,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,,,6,wyb,yb,"/img/derivatives/iiif/images/wyb005/full/250,/0/default.jpg",/img/derivatives/iiif/wyb005/manifest.json,"/img/derivatives/iiif/images/wyb005/full/1140,/0/default.jpg"
wyb006,The Owl [June 1937],Wadleigh High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,STGP (N.Y. Wadleigh) The Owl,https://digitalcollections.nypl.org/items/bde30bc0-25e1-0134-4ebd-00505686a51c,,June 1937,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,,,7,wyb,yb,"/img/derivatives/iiif/images/wyb006/full/250,/0/default.jpg",/img/derivatives/iiif/wyb006/manifest.json,"/img/derivatives/iiif/images/wyb006/full/1140,/0/default.jpg"
wyb007,The Owl [January 1938],Wadleigh High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,STGP (N.Y. Wadleigh) The Owl,https://digitalcollections.nypl.org/items/04f89020-31bb-0134-eb74-00505686a51c,,January 1938,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,,,8,wyb,yb,"/img/derivatives/iiif/images/wyb007/full/250,/0/default.jpg",/img/derivatives/iiif/wyb007/manifest.json,"/img/derivatives/iiif/images/wyb007/full/1140,/0/default.jpg"
wyb008,The Owl [June 1938],Wadleigh High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,STGP (N.Y. Wadleigh) The Owl,https://digitalcollections.nypl.org/items/4327f2d0-31bb-0134-d017-00505686a51c,,June 1938,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,,,9,wyb,yb,"/img/derivatives/iiif/images/wyb008/full/250,/0/default.jpg",/img/derivatives/iiif/wyb008/manifest.json,"/img/derivatives/iiif/images/wyb008/full/1140,/0/default.jpg"
wyb009,The Owl [January 1939],Wadleigh High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .O82,https://digitalcollections.nypl.org/items/81af5250-31bb-0134-c1cd-00505686a51c,,January 1939,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,,,10,wyb,yb,"/img/derivatives/iiif/images/wyb009/full/250,/0/default.jpg",/img/derivatives/iiif/wyb009/manifest.json,"/img/derivatives/iiif/images/wyb009/full/1140,/0/default.jpg"
wyb010,The Owl [June 1940],Wadleigh High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,"Sc MG 746, Box 1, Folder 7",https://digitalcollections.nypl.org/items/26085780-31bc-0134-ff80-00505686a51c,,June 1940,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,,,11,wyb,yb,"/img/derivatives/iiif/images/wyb010/full/250,/0/default.jpg",/img/derivatives/iiif/wyb010/manifest.json,"/img/derivatives/iiif/images/wyb010/full/1140,/0/default.jpg"
wyb011,The Owl [June 1941],Wadleigh High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .O82,https://digitalcollections.nypl.org/items/c02d6600-31bb-0134-e22d-00505686a51c,,June 1941,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,,,12,wyb,yb,"/img/derivatives/iiif/images/wyb011/full/250,/0/default.jpg",/img/derivatives/iiif/wyb011/manifest.json,"/img/derivatives/iiif/images/wyb011/full/1140,/0/default.jpg"
